,Address,lat,long
52,53 Blk 538 Bedok North St 3 HDB,1.3318127,103.9248711
53,54 Blk 36 Telok Blangah Rise HDB,1.2725976,103.8216487
54,55 Blk 210 Toa Payoh Lorong 8 HDB,1.3402503,103.854348
55,56 Blk 226H Ang Mo Kio Street 22 HDB,1.3672414,103.8400579
56,57 Blk 226D Ang Mo Kio Ave 1 HDB,1.366795,103.839176
57,58 Blk 120 Bukit Merah Lane 1 HDB,1.2856468,103.8039272
58,59 Blk 80 Circuit Rd HDB,1.3263918,103.8883199
59,60 Blk 112 Jalan Bukit Merah HDB,1.2835701,103.8193837
60,61 Blk 105 Hougang Ave 1 HDB,1.3541593,103.8899426
61,62 Blk 69 Geylang Bahru HDB,1.3214913,103.8700885
62,63 Blk 104/105 Yishun Ring Road HDB,1.4260651,103.8321027
63,64 Blk 20/21 Marsiling Lane HDB,1.4442758,103.7774137
64,65 Blk 41A Cambridge Road HDB,1.3166725,103.848935
65,66 Blk 75 Toa Payoh Lor 5 HDB,1.3359699,103.8530114
66,67 Blk 6 Jalan Bukit Merah HDB,1.2835701,103.8193837
67,68 Blk 51 Old Airport Road HDB,1.3077114,103.8858091
68,69 Blk 208B New Upper Changi Road HDB,1.324569,103.93068
69,70 Blk 90 Whampoa Drive HDB,1.3235894,103.8565101
70,71 Blk 159 Mei Chin Road HDB,1.2932672,103.8028827
71,72 Blk 628 Ang Mo Kio Avenue 4 HDB,1.380976,103.8407372
72,73 Blk 91/92 Whampoa Drive HDB,1.3234136,103.8540837
73,74 Blk 13/14 Haig Road HDB,1.3153681,103.895119
74,75 Blk 1A/2A/3A Commonwealth Drive HDB,34.8504185,-82.3240153
75,76 Blk 16 Bedok South HDB,1.3204181,103.9354884
76,77 Blks 2/3 Changi Village Rd HDB,1.3846035,103.9874016
77,78 Blk 335 Smith Street HDB,1.2824893,103.8439086
78,79 Blks 79/79A Circuit Rd HDB,1.3256079,103.88493
79,80 Blk 409 Ang Mo Kio Ave 10 HDB,1.3627194,103.8554121
80,81 Blk 341 Ang Mo Kio Ave 1 HDB,1.3642258,103.8483462
81,82 Blk 724 Ang Mo Kio Avenue 6 HDB,1.3721841,103.8465592
82,83 Blk 270 Queen Street HDB,1.2995426,103.8534866
83,84 Blk 50A Marine Terrace HDB,1.3057714,103.9157338
84,85 Blk 32 New Market Road HDB,1.287167,103.8447043
85,86 Blk 89 Circuit Rd HDB,1.3263918,103.8883199
86,87 Blk 20 Ghim Moh Road HDB,1.3111246,103.7882108
87,88 Blk 160/162 Ang Mo Kio Avenue 4 HDB,1.3763651,103.8393621
88,89 Blk 453A Ang Mo Kio Ave 10 HDB,1.3682812,103.856318
89,90 Blk 93 Toa Payoh Lorong 4 HDB,1.3385059,103.8496348
90,91 Blk 448 Clementi Ave 3 HDB,1.313797,103.7634959
91,92 Blk 216 Bedok North Street HDB,1.3275219,103.9333799
92,93 Blk 221 A/B Boon Lay Place HDB,1.3142556,103.7093099
93,94 Blk 4A Jalan Batu HDB,1.3021706,103.8838834
94,95 Blk 117 Aljunied Ave 2 HDB,1.3206162,103.8869842
95,96 Blk 726 Clementi West Street 2 HDB,1.3037847,103.7642661
96,97 Blk 209 Hougang St 21 HDB,1.3580972,103.886022
97,98 Blk 502 West Coast Drive HDB,1.311936,103.759131
98,99 Blk 503 West Coast Drive HDB,1.3118695,103.7597825
99,100 Blk 115 Bukit Merah View HDB,1.2841648,103.8215886
100,101 Blk 320 Shunfu Road HDB,1.3518362,103.8376231
101,102 Blk 505 Jurong West St 52 HDB,1.3497487,103.7185122
102,103 Blk 665 Buffalo Road HDB,1.3063839,103.8507014
103,104 Blk 22 Lor 7 Toa Payoh HDB,1.3354642,103.8570169
104,105 Blk 58 New Upper Changi Road HDB,1.3239734,103.9414546
105,106 Blk 4A Eunos Crescent HDB,1.3230485,103.9046217
106,107 Blk 85 Redhill Lane HDB,1.2881024,103.8186716
107,108 Blk 79 Redhill Lane HDB,1.2881024,103.8186716
108,109 Blk 7 Empress Road HDB,1.3172788,103.8062794
109,110 Blk 11 Telok Blangah Crescent HDB,1.277457,103.8186374
110,111 Blk 44 Holland Drive Market and Food Centre HDB,1.3081723,103.7927381
111,112 Blk 74 Lor 4 Toa Payoh HDB,1.3344784,103.8519727
112,113 Blk 527 Ang Mo Kio Ave 10 HDB,1.3728341,103.8545062
113,114 Blk 85 Bedok North St 4 HDB,1.3312239,103.939356
114,115 Blk 531A Upper Cross Street HDB,1.285455,103.8432978
